timestamp, frameNumber, roiName, z, drPixel, drRef, confidence, userData
2.368202, 9, B37B3544, 190.000000, [0 0 3], [0 0 3], [0.0610736757516861 0.0610736757516861 0.0610736757516861], 
2.368202, 9, A50F49E7, 190.000000, [0 0 8], [0 0 8], [0.0652638673782349 0.0652638673782349 0.0652638673782349], 
2.368202, 9, 1B96C00C, 190.000000, [0 0 12], [0 0 12], [0.0316026099026203 0.0316026099026203 0.0316026099026203], 
2.368202, 9, 89A42D1A, 190.000000, [0 0 20], [0 0 20], [0.0289588682353497 0.0289588682353497 0.0289588682353497], 
2.368202, 9, 9531C9E8, 190.000000, [0 0 9], [0 0 9], [0.0439095459878445 0.0439095459878445 0.0439095459878445], 
2.368202, 9, 98E2D7D2, 190.000000, [0 -2 -16], [0 -0.0625 -16], [0.0240174029022455 0.0240174029022455 0.0240174029022455], 
2.368202, 9, CCE52F79, 190.000000, [8 -20 27], [0.25 -0.625 27], [0.0192431062459946 0.0192431062459946 0.0192431062459946], 
2.664227, 10, B37B3544, 190.000000, [0 0 7], [0 0 7], [0.0643881186842918 0.0643881186842918 0.0643881186842918], 
2.664227, 10, A50F49E7, 190.000000, [0 0 6], [0 0 6], [0.0699557960033417 0.0699557960033417 0.0699557960033417], 
2.664227, 10, 1B96C00C, 190.000000, [0 0 -2], [0 0 -2], [0.0307036489248276 0.0307036489248276 0.0307036489248276], 
2.664227, 10, 89A42D1A, 190.000000, [0 0 -9], [0 0 -9], [0.0252004321664572 0.0252004321664572 0.0252004321664572], 
2.664227, 10, 9531C9E8, 190.000000, [0 0 11], [0 0 11], [0.0391191281378269 0.0391191281378269 0.0391191281378269], 
2.664227, 10, 98E2D7D2, 190.000000, [0 -2 -12], [0 -0.0625 -12], [0.0216903779655695 0.0216903779655695 0.0216903779655695], 
2.664227, 10, CCE52F79, 190.000000, [1 8 11], [0.03125 0.25 11], [0.0197575390338898 0.0197575390338898 0.0197575390338898], 
